Title;Company;Address;Date;Type;Experience
IoT Solutions Engineer                                                                              ;Interact Technology Solutions                                                                       ;Maadi, Cairo, Egypt                                                                                 ;2021-11-03                                                                                          ;Full Time                                                                                           ;5+ Yrs of Exp                                                                                       
Machine Learning Engineer                                                                           ;Confidential                                                                                        ;New Cairo, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Full Stack Web Developer                                                                            ;Confidential                                                                                        ;New Cairo, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;5+ Yrs of Exp                                                                                       
ERPNext Developer                                                                                   ;DIRAC SYSTEMS                                                                                       ;Heliopolis, Cairo, Egypt                                                                            ;2021-11-03                                                                                          ;Full Time                                                                                           ;3 - 10 Yrs of Exp                                                                                   
Computer Vision Engineer                                                                            ;Confidential                                                                                        ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;1+ Yrs of Exp                                                                                       
DevOps Engineer                                                                                     ;Confidential                                                                                        ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Part Time                                                                                           ;2 - 9 Yrs of Exp                                                                                    
Mid-Senior Level Front-End Software Developer (Remote)                                              ;skora tech                                                                                          ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Work From Home                                                                                      ;2 - 5 Yrs of Exp                                                                                    
DevOps Engineer                                                                                     ;Beshara                                                                                             ;Nasr City, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
System Engineer - Application Performance Monitoring (APM)                                          ;Ejada (Cairo)                                                                                       ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;1 - 5 Yrs of Exp                                                                                    
Odoo Developer                                                                                      ;Confidential                                                                                        ;Nasr City, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;2 - 5 Yrs of Exp                                                                                    
DevOps Engineer                                                                                     ;Coral Technology                                                                                    ;Nasr City, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;3 - 5 Yrs of Exp                                                                                    
Senior Front End Developer - React                                                                  ;Trufla                                                                                              ;Heliopolis, Cairo, Egypt                                                                            ;2021-11-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Senior Machine Learning Engineer (NLP)                                                              ;Botit                                                                                               ;Downtown, Cairo, Egypt                                                                              ;2021-11-03                                                                                          ;Full Time                                                                                           ;3 - 8 Yrs of Exp                                                                                    
Senior Big Data Engineer                                                                            ;A1Softech                                                                                           ;Nasr City, Cairo, Egypt                                                                             ;2021-12-27                                                                                          ;Full Time                                                                                           ;4 - 7 Yrs of Exp                                                                                    
Back-End Developer                                                                                  ;Smart Medical Services                                                                              ;Dokki, Giza, Egypt                                                                                  ;2021-12-03                                                                                          ;Full Time                                                                                           ;1 - 3 Yrs of Exp                                                                                    
"Computer Science Instructor For Kids '"STEAM Education'"                                              ";Edu-Zone                                                                                            ;New Cairo, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;Entry Level                                                                                         
BI Consultant                                                                                       ;Confidential                                                                                        ;Riyadh, Saudi Arabia                                                                                ;2021-11-03                                                                                          ;Part Time                                                                                           ;5 - 7 Yrs of Exp                                                                                    
Senior Software Developer (Focusing on .NET)                                                        ;TMentors                                                                                            ;Maadi, Cairo, Egypt                                                                                 ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 5 Yrs of Exp                                                                                    
Remote Automation QA Engineer                                                                       ;Scopic                                                                                              ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;3 - 20 Yrs of Exp                                                                                   
ArcSight SIEM Administrator                                                                         ;Acuative Middle East                                                                                ;Riyadh, Saudi Arabia                                                                                ;2021-12-28                                                                                          ;Full Time                                                                                           ;4 - 6 Yrs of Exp                                                                                    
Operations & Delivery Officer                                                                       ;IdealRatings                                                                                        ;Heliopolis, Cairo, Egypt                                                                            ;2021-12-03                                                                                          ;Work From Home                                                                                      ;1 - 2 Yrs of Exp                                                                                    
Management Trainee -Supply Chain                                                                    ;Landmark Group                                                                                      ;New Cairo, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;0 - 2 Yrs of Exp                                                                                    
GIS Developer                                                                                       ;Perfect Presentation                                                                                ;6th of October, Giza, Egypt                                                                         ;2021-12-03                                                                                          ;Full Time                                                                                           ;1+ Yrs of Exp                                                                                       
Senior Devops Engineer                                                                              ;Confidential                                                                                        ;New Cairo, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;5 - 7 Yrs of Exp                                                                                    
"Engineering /Robotics/Coding Facilitator For Kids '"STEAM Education'"                                 ";Edu-Zone                                                                                            ;New Cairo, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;Entry Level                                                                                         
Back-End Developer (Django)                                                                         ;Xpovi                                                                                               ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Part Time                                                                                           ;2 - 4 Yrs of Exp                                                                                    
Full Stack Web Developer                                                                            ;Confidential                                                                                        ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;5+ Yrs of Exp                                                                                       
Robotics Engineer Instructor For Kids (STEAM Facilitator)                                           ;Edu-Zone                                                                                            ;New Cairo, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;Entry Level                                                                                         
Junior Odoo Developer                                                                               ;Minds solutions                                                                                     ;Maadi, Cairo, Egypt                                                                                 ;2021-11-03                                                                                          ;Full Time                                                                                           ;0 - 2 Yrs of Exp                                                                                    
Business Analyst                                                                                    ;Mobica                                                                                              ;Giza, Egypt                                                                                         ;2021-11-03                                                                                          ;Part Time                                                                                           ;3 - 5 Yrs of Exp                                                                                    
Senior Hardware Engineer                                                                            ;Iskraemeco                                                                                          ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;4+ Yrs of Exp                                                                                       
Professional Service Consultant - iMETA                                                             ;Roots Management Consultants                                                                        ;Cairo, Egypt                                                                                        ;2021-12-29                                                                                          ;Full Time                                                                                           ;5 - 10 Yrs of Exp                                                                                   
Oracle Netsuite Functional Consultant                                                               ;AK IT Consulting                                                                                    ;Nasr City, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;3 - 8 Yrs of Exp                                                                                    
DevOps/ProdOPS Engineer                                                                             ;Cegedim                                                                                             ;New Cairo, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Software Quality Control Engineer                                                                   ;Kashier Payment Solutions                                                                           ;Zamalek, Cairo, Egypt                                                                               ;2021-11-03                                                                                          ;Full Time                                                                                           ;2 - 5 Yrs of Exp                                                                                    
Senior Cloud DevOps Engineer                                                                        ;FlairsTech                                                                                          ;Maadi, Cairo, Egypt                                                                                 ;2021-11-03                                                                                          ;Full Time                                                                                           ;4+ Yrs of Exp                                                                                       
Internship Software Quality Control Tester - (Alexandria)                                           ;Procrew                                                                                             ;San Stefano, Alexandria, Egypt                                                                      ;2021-11-03                                                                                          ;Full Time                                                                                           ;Entry Level                                                                                         
BI Team Leader                                                                                      ;Dataplus                                                                                            ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;5 - 7 Yrs of Exp                                                                                    
Senior Data Warehouse & BI Tester                                                                   ;Target Recruitment & HR Solutions                                                                   ;Nasr City, Cairo, Egypt                                                                             ;2021-12-03                                                                                          ;Internship                                                                                          ;4+ Yrs of Exp                                                                                       
Smart Manufacturing Engineer - Alexandria                                                           ;Prometeon Tyres Group – Egypt (Ex-Pirelli Tyres Egypt)                                              ;Ameria, Alexandria, Egypt                                                                           ;2021-12-03                                                                                          ;Full Time                                                                                           ;0 - 3 Yrs of Exp                                                                                    
Senior Full Stack Developer (Full Time Office Based)                                                ;Affsquare                                                                                           ;Sheraton, Cairo, Egypt                                                                              ;2021-12-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Market Research Manager - Mobile Phones                                                             ;IDC                                                                                                 ;6th of October, Giza, Egypt                                                                         ;2021-12-03                                                                                          ;Full Time                                                                                           ;8 - 10 Yrs of Exp                                                                                   
Software Project Manager                                                                            ;Charisma Design                                                                                     ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;3 - 5 Yrs of Exp                                                                                    
Senior Backend Developer                                                                            ;Easy Cash                                                                                           ;Heliopolis, Cairo, Egypt                                                                            ;2021-11-03                                                                                          ;Full Time                                                                                           ;5+ Yrs of Exp                                                                                       
Front End Web Developer                                                                             ;Confidential                                                                                        ;Maadi, Cairo, Egypt                                                                                 ;2021-11-03                                                                                          ;Full Time                                                                                           ;5+ Yrs of Exp                                                                                       
Web Developer                                                                                       ;Union Group                                                                                         ;Obour City, Cairo, Egypt                                                                            ;2021-11-03                                                                                          ;Full Time                                                                                           ;4 - 5 Yrs of Exp                                                                                    
Linux System Administrator                                                                          ;Egpay                                                                                               ;Nasr City, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Big Data Engineer                                                                                   ;Paymob Solutions                                                                                    ;Maadi, Cairo, Egypt                                                                                 ;2021-11-03                                                                                          ;Full Time                                                                                           ;2+ Yrs of Exp                                                                                       
Senior Front End Developer                                                                          ;yelloco                                                                                             ;Nasr City, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;3 - 5 Yrs of Exp                                                                                    
Software Tester                                                                                     ;Erpplus5                                                                                            ;Maadi, Cairo, Egypt                                                                                 ;2021-12-03                                                                                          ;Full Time                                                                                           ;1+ Yrs of Exp                                                                                       
Senior Software QA Engineer                                                                         ;TEMPO                                                                                               ;Cairo, Egypt                                                                                        ;2021-12-03                                                                                          ;Full Time                                                                                           ;5+ Yrs of Exp                                                                                       
MIS Analyst                                                                                         ;OPEX Egypt                                                                                          ;New Cairo, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;2 - 3 Yrs of Exp                                                                                    
Backend Software Developer                                                                          ;EMIRATES BARQ                                                                                       ;Sharjah, United Arab Emirates                                                                       ;2021-11-03                                                                                          ;Full Time                                                                                           ;2 - 3 Yrs of Exp                                                                                    
DevOps Engineer - UK Team - (Alexandria)                                                            ;Procrew                                                                                             ;Alexandria, Egypt                                                                                   ;2021-11-03                                                                                          ;Work From Home                                                                                      ;5+ Yrs of Exp                                                                                       
Site Reliability Engineer (SRE)                                                                     ;Taager                                                                                              ;Maadi, Cairo, Egypt                                                                                 ;2021-11-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Backend Software Engineer                                                                           ;Confidential                                                                                        ;Sharjah, United Arab Emirates                                                                       ;2021-12-03                                                                                          ;Full Time                                                                                           ;2 - 3 Yrs of Exp                                                                                    
PHP Developer                                                                                       ;VA Computing Egypt                                                                                  ;New Cairo, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Work From Home                                                                                      ;3 - 5 Yrs of Exp                                                                                    
Software Tester (Remote/WFH)                                                                        ;Deriv.com                                                                                           ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Senior Software Development Consultant                                                              ;Flint                                                                                               ;Cairo, Egypt                                                                                        ;2021-11-03                                                                                          ;Full Time                                                                                           ;7 - 15 Yrs of Exp                                                                                   
IT Admin                                                                                            ;FlairsTech                                                                                          ;Maadi, Cairo, Egypt                                                                                 ;2021-11-03                                                                                          ;Work From Home                                                                                      ;3 - 6 Yrs of Exp                                                                                    
Senior Full Stack Developer                                                                         ;e Aswaaq Misr                                                                                       ;Giza, Egypt                                                                                         ;2021-11-03                                                                                          ;Full Time                                                                                           ;3+ Yrs of Exp                                                                                       
Technical Lead - Software Engineer                                                                  ;Confidential                                                                                        ;New Cairo, Cairo, Egypt                                                                             ;2021-11-03                                                                                          ;Full Time                                                                                           ;6 - 7 Yrs of Exp                                                                                    
Senior Technical Support Engineer                                                                   ;Viavi Solutions                                                                                     ;Maadi, Cairo, Egypt                                                                                 ;2021-11-03                                                                                          ;Full Time                                                                                           ;4 - 8 Yrs of Exp                                                                                    
Incident Response Consultant                                                                        ;Acuative Middle East                                                                                ;Riyadh, Saudi Arabia                                                                                ;2021-12-28                                                                                          ;Full Time                                                                                           ;6 - 10 Yrs of Exp                                                                                   
